name,min\_temp,max\_temp,licht,standort,blütezeit,beschreibung,level,zeitaufwand,wasserbedarf,bodenart,begleitpflanzen,monats\_tipps
Basilikum,10,35,sonnig,Balkon,Juni–September,"einjährig, braucht viel Wärme",Anfänger,mittel,hoch,humos,"Petersilie, Schnittlauch","Aussaat im März, sonniger Platz, regelmäßig gießen"
Tomate,12,32,sonnig,Balkon,Juli–September,benötigt viel Sonne und Wasser,Fortgeschritten,hoch,hoch,humos,"Basilikum, Salat","Jungpflanzen im Mai, Tomatenstütze verwenden"
Petersilie,8,28,halbschattig,Beides,Juni–September,"zweijährig, aromatisch",Anfänger,wenig,mittel,humos,"Karotte, Zwiebel","Regelmäßig feucht halten, halbschattiger Standort ideal"
Schnittlauch,5,30,sonnig,Beides,April–Juni,winterhart und pflegeleicht,Fortgeschritten,wenig,mittel,humos,"Karotte, Zwiebel","Alle 2 Jahre teilen, regelmäßig schneiden"
Lavendel,10,40,sonnig,Balkon,Juni–August,liebt Wärme und trockene Böden,Anfänger,wenig,wenig,sandig,"Thymian, Rosmarin","Im Frühjahr zurückschneiden, Staunässe vermeiden"
Minze,10,28,halbschattig,Balkon,Juni–August,erfrischend und pflegeleicht,Fortgeschritten,wenig,mittel,lehmig,"Kohlrabi, Salat","Im Kühlschrank in Wasser lagern, Triebe kappen für buschigen Wuchs"
Salbei,5,30,sonnig,Balkon,Juni–September,heilend und trockenheitsverträglich,Anfänger,wenig,wenig,sandig,"Lavendel, Thymian","Nicht zu feucht halten, nur junge Triebe ernten"
Thymian,8,32,sonnig,Balkon,Juni–August,robust und bienenfreundlich,Fortgeschritten,wenig,wenig,kiesig,"Rosmarin, Salbei","Trocken halten, alle zwei Jahre verjüngen"
Oregano,8,28,sonnig,Balkon,Juni–September,mediterran und robust,Experte,mittel,mittel,lehmig,"Basilikum, Thymian","Stets trockene Erde, sonniger Standort"
Zucchini,10,35,sonnig,Garten,Juli–September,reich tragend bei guter Pflege,Anfänger,hoch,hoch,humos,"Mais, Bohnen","Ausreichend Platz, Fruchtwechsel beachten"
Paprika,12,30,sonnig,Garten,Juli–September,benötigt viel Sonne und Wärme,Fortgeschritten,hoch,hoch,humos,"Tomate, Basilikum","Stets warm, Tomatenhäuschen ideal"
Kresse,5,25,halbschattig,Garten,März–September,schnell wachsend und pflegeleicht,Anfänger,wenig,hoch,humos,"Radieschen, Rucola","Einfach in Schale oder Beet, viel Licht"
Spinat,5,25,halbschattig,Garten,März–August,benötigt viel Wasser und Pflege,Anfänger,hoch,hoch,humos,"Feldsalat, Radieschen","Frühjahr oder Herbst aussäen, schnell ernten"
Erdbeeren,5,30,sonnig,Garten,Mai–Juli,süß und pflegeleicht,Anfänger,mittel,mittel,sandig,"Knoblauch, Salat","Ableger im Sommer neu setzen, mit Stroh unterlegen"
Karotten,5,30,halbschattig,Garten,März–August,benötigt wenig Pflege und Wasser,Anfänger,wenig,wenig,sandig,"Petersilie, Lauch","Direktsaat im Frühjahr, Boden lockern"
Kürbis,10,35,sonnig,Garten,Juli–September,benötigt viel Platz und Wärme,Experte,hoch,hoch,lehmig,"Mais, Bohnen","Früh vorziehen, großzügig pflanzen"
Gurke,10,30,sonnig,Garten,Juni–September,benötigt viel Wasser und Wärme,Fortgeschritten,hoch,hoch,humos,"Dill, Fenchel","Rankhilfe geben, gleichmäßig gießen"
Kohlrabi,5,25,halbschattig,Garten,Mai–August,robust und pflegeleicht,Anfänger,mittel,mittel,lehmig,"Salat, Radieschen","Früh oder Herbst aussäen, nicht zu tief"
Mangold,5,30,halbschattig,Garten,Mai–August,benötigt viel Wasser und Pflege,Fortgeschritten,hoch,hoch,humos,"Kohlrabi, Spinat","Ernte ab 6 Blättern, ständig nachwachsen"
Blumenkohl,5,25,halbschattig,Garten,Mai–August,benötigt viel Wasser und Pflege,Fortgeschritten,hoch,hoch,lehmig,"Salat, Spinat","Kühler Standort, mit Vlies abdecken"
Feldsalat,5,30,halbschattig,Garten,März–August,schnell wachsend und pflegeleicht,Anfänger,wenig,mittel,humos,"Radieschen, Spinat","Herbstanbau bevorzugt, Reihen locker halten"
Rucola,5,30,halbschattig,Garten,März–August,schnell wachsend und pflegeleicht,Anfänger,wenig,mittel,humos,"Radieschen, Dill","Alle 2 Wochen neu aussäen, jung ernten"
Knoblauch,5,30,halbschattig,Garten,März–August,benötigt wenig Pflege und Wasser,Anfänger,wenig,wenig,sandig,"Erdbeere, Karotte","Einzelzehen stecken, trocken halten"
Zwiebeln,5,30,halbschattig,Garten,März–August,benötigt wenig Pflege und Wasser,Anfänger,wenig,wenig,sandig,"Karotten, Salat","Kein frischer Mist, sonnig pflanzen"
Radieschen,5,25,halbschattig,Garten,März–September,schnell wachsend und pflegeleicht,Anfänger,wenig,mittel,humos,"Salat, Kresse","Alle 2 Wochen neue Aussaat, Frühjahrsstartroutine"
Bohnen,10,30,sonnig,Garten,Juni–September,reich tragend und pflegeleicht,Fortgeschritten,hoch,hoch,lehmig,"Mais, Kürbis","Rankhilfe oder Buschform wählen, feucht halten"
Kohl,5,25,halbschattig,Garten,Mai–August,benötigt viel Wasser und Pflege,Fortgeschritten,hoch,hoch,lehmig,"Salat, Sellerie","Netz gegen Kohlfliegen verwenden"
Brokkoli,5,25,halbschattig,Garten,Mai–August,benötigt viel Wasser und Pflege,Fortgeschritten,hoch,hoch,lehmig,"Spinat, Sellerie","Haupttrieb ernten, Seitentriebe folgen"
Rosenkohl,5,25,halbschattig,Garten,Mai–August,benötigt viel Wasser und Pflege,Fortgeschritten,hoch,hoch,lehmig,"Kohl, Spinat","Späte Sorte für Winterernte, Windschutz geben"
Chicorée,5,30,halbschattig,Garten,März–August,schnell wachsend und pflegeleicht,Anfänger,wenig,mittel,humos,"Salat, Spinat","Für Blattanbau im Schatten, nicht zu warm"
